top,seq,sredni_czas,mediana_czas,max_czas,skladalnosc,obecnosc,n_600ns,n_1us,stddevi,etykieta
+l+l+l,111,7793.333333333333,5640.0,14800.0,0.5,3,0,0,6216.311875488016,NIESTABILNY
+l+l+l,112,23700.0,23700.0,25280.0,0.25,2,0,0,2234.45742854949,NIESTABILNY
+l+l+l,113,6580.0,3460.0,15260.0,0.25,3,0,0,7615.4579639047315,NIESTABILNY
+l+l+l,114,59830.0,59830.0,108180.0,0.5,2,0,0,68377.22574073914,NIESTABILNY
+l+l+l,121,99340.0,60800.0,193660.0,0.25,3,0,0,82137.08784708647,NIESTABILNY
+l+l+l,122,322423.63636363635,123620.0,1000000.0,0.0,11,3,2,395302.1161408759,NIEOPTYMALNY
+l+l+l,123,220260.0,220260.0,220260.0,0.0,1,0,0,,NIESTABILNY
+l+l+l,124,434811.1111111111,298500.0,1000000.0,0.5,9,3,3,456934.4284589542,BARDZO STABILNY
+l+l+l,131,263955.0,57040.0,1000000.0,0.5,8,2,1,402684.15595494054,ŚREDNIO STABILNY
+l+l+l,132,193956.66666666666,73300.0,530520.0,0.25,6,0,0,234019.86699138745,SŁABO STABILNY
+l+l+l,133,674765.4545454546,1000000.0,1000000.0,0.25,11,7,7,460696.21714018093,BARDZO STABILNY
+l+l+l,134,823623.3333333334,1000000.0,1000000.0,0.5,6,5,4,361464.01965709764,ŚREDNIO STABILNY
+l+l+l,141,412870.0,140010.0,1000000.0,0.25,8,3,3,493496.3083955137,ŚREDNIO STABILNY
+l+l+l,142,532447.5,561450.0,1000000.0,0.25,8,4,4,501254.0652560479,ŚREDNIO STABILNY
+l+l+l,143,600684.4444444445,1000000.0,1000000.0,0.25,9,5,5,483525.9538822893,BARDZO STABILNY
+l+l+l,144,509580.0,515310.0,1000000.0,0.5,6,3,3,537320.720017384,ŚREDNIO STABILNY
+l+l+l,211,890.0,890.0,940.0,0.0,2,0,0,70.71067811865476,NIESTABILNY
+l+l+l,212,12120.0,12120.0,21700.0,0.0,2,0,0,13548.16592753425,NIESTABILNY
