top,seq,sredni_czas,mediana_czas,max_czas,stddevi,cluster_results_KMeans,cluster_results_KMedoids
+l+p+p,111,371760.0,197190.0,948680.0,435966.945536012,2,0
-ld+l,343,729526.6666666666,1000000.0,1000000.0,369885.437333663,0,1
-ld+l,242,518712.5,532270.0,1000000.0,465320.6173243808,2,0
-p-p-l,144,944380.0,1000000.0,1000000.0,192673.3318339619,0,1
+p+p+p,211,0.0,0.0,0.0,0.0,1,2
+l+l+l,433,1000000.0,1000000.0,1000000.0,0.0,0,1
-p-p-l,224,888561.6666666666,1000000.0,1000000.0,214470.89422506024,0,1
-p-p-p,341,553295.0,728740.0,1000000.0,469609.55527873454,0,1
+pd-l,322,70540.0,70540.0,70540.0,0.0,1,2
-pd+p,232,729042.2222222222,1000000.0,1000000.0,394914.0142416377,0,1
+p+l+l,221,2080.0,2080.0,2080.0,0.0,1,2
d+pd,413,521222.5,372080.0,1000000.0,409709.28026554914,2,0
+l+p+p,324,651168.8888888889,756100.0,756100.0,176051.19883463194,0,1
+p+l+p,313,226774.2857142857,101560.0,1000000.0,353381.4122095814,2,0
-ld+l,143,162117.5,38760.0,1000000.0,341293.81249884976,2,0
+l+p+p,122,288183.3333333333,103420.0,1000000.0,381886.5032567883,2,0
-p-l-p,233,219731.66666666663,132000.0,1000000.0,284436.1110507893,2,0
+p+l+l,434,670561.6666666666,776070.0,1000000.0,365541.7918112867,0,1
+ld-l,112,0.0,0.0,0.0,0.0,1,2
-ld+l,433,489280.0,475630.0,1000000.0,402488.4892764015,2,0
-ld+l,241,423167.5,161340.0,1000000.0,483615.6515176666,2,0
-p-l-l,112,2260.0,2260.0,2260.0,0.0,1,2
+pd-l,113,0.0,0.0,0.0,0.0,1,2
+l+p+p,323,673031.6666666666,1000000.0,1000000.0,422537.3626047402,0,1
d+pd,324,588640.0,678360.0,916580.0,274226.2231078567,0,1
+p+p+p,344,654845.7142857143,1000000.0,1000000.0,448551.3994648827,0,1
+l+p+p,214,455201.8181818182,282920.0,1000000.0,427394.7617324804,2,0
-pd+p,214,0.0,0.0,0.0,0.0,1,2
+p+l+l,344,465075.5555555556,70340.0,1000000.0,507925.8187745311,2,0
+l+l+p,132,8290.0,8290.0,12560.0,6038.691911333116,1,2
-ld+p,313,0.0,0.0,0.0,0.0,1,2
-pd+p,233,360370.0,58700.0,1000000.0,461389.4753170399,2,0
+p+p+l,333,402393.3333333333,209980.0,1000000.0,455078.2341532058,2,0
-p-p-p,221,703827.2727272727,1000000.0,1000000.0,447101.332252341,0,1
-l-p-p,223,492868.0,408860.0,1000000.0,488511.01637527073,2,0
-p-l-p,241,6460.0,6460.0,6460.0,0.0,1,2
-ld+p,224,209262.5,37330.0,1000000.0,354914.9307228424,2,0
-l-l-p,242,366374.5454545455,157980.0,1000000.0,434213.61453468126,2,0
+l+l+p,411,0.0,0.0,0.0,0.0,1,2
+p+l+l,341,2960.0,2960.0,5320.0,3337.5440072005044,1,2
-p-l-l,221,313170.0,103010.0,1000000.0,423387.3694599094,2,0
-l-p-l,334,425524.4444444445,275380.0,1000000.0,460105.490705966,2,0
-ld+p,113,0.0,0.0,0.0,0.0,1,2
+l+l+p,311,0.0,0.0,0.0,0.0,1,2
+ld-l,314,0.0,0.0,0.0,0.0,1,2
-pd+p,223,40667.5,33830.0,80820.0,31468.917885067844,1,2
+l+p+l,111,0.0,0.0,0.0,0.0,1,2
d-pd,224,347073.3333333333,37360.0,1000000.0,565699.1130745508,2,0
-l-l-p,111,0.0,0.0,0.0,0.0,1,2
-p-p-p,232,927840.0,1000000.0,1000000.0,204746.5342808029,0,1
-l-l-l,223,689369.0909090909,1000000.0,1000000.0,431923.7927564201,0,1
+pd-l,443,710690.0,1000000.0,1000000.0,435554.6960677461,0,1
-l-p-l,224,96070.0,41640.0,424900.0,137104.21104296646,3,3
-l-p-p,324,155288.88888888888,69080.0,413260.0,146886.97563470734,3,3
+l+p+p,212,426306.0,160340.0,1000000.0,466996.09296961885,2,0
+pd-p,342,63174.0,24150.0,232640.0,70473.14259110819,1,3
+p+l+p,444,506735.0,585370.0,1000000.0,434756.3325170047,2,0
